amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"12,580",Please Help Bob Continue Fighting Parkinson's!,U.S. Dollar,,of $50k goal,60,"Bob Sobo has been a servant of God and of people throughout his whole
  adult life.  He’s been an Associate Pastor, Senior Pastor and Shelter
  Manager for the San Fernando Valley Rescue Mission where he helped
  many homeless families get back on their feet.  Bob has also had a
  passion for music since boyhood, and he achieved professional status
  as a guitar player and songwriter. Bob has also been a devoted husband and father. He has dedicated his
  life to the pursuit of knowledge and wisdom; and yet that pursuit has
  never made him cold or impersonal.  Anyone who has heard Bob laugh
  knows this to be true!  His wry humor and rapier wit have the capacity
  to put any person at ease, as anyone who has spent time with him can
  attest to. Sadly, in December of 2006 when Bob was just 52, he was diagnosed
  with Parkinson’s Disease. Doctors believe that the onset was
  exacerbated by a head injury Bob incurred in a tragic traffic
  collision with a negligent driver in October of that year. This terrible accident occurred as he was heading to a musical gig. 
  Then, like now, he was accompanied by the incomparable Sandy Howell,
  who thankfully incurred only minor injuries.  As a result of that
  accident, the Parkinson’s which would most probably have laid dormant
  for the majority of Bob’s life, surfaced with a vengeance. This disease has exacted a terrible toll on Bob. The first thing that Parkinson’s took from Bob was his ability to
  make music with his guitar.   The loss of that light within the world
  has been immeasurable; anyone who has spent any time with Bob knows
  that a guitar in his hands is like a painter with fresh watercolors,
  staring at a beautiful vista… His ability to make that instrument sing
  shaped the majority of my childhood, and it was a shock to everyone
  around him when he couldn’t play anymore. But Bob persevered. The next thing that Parkinson’s took from Bob was his ability to
  drive and speak publicly. Everyone was taken by surprise at how Bob’s
  Parkinson’s advanced so quickly, and in such a degenerative manner. 
  Nonetheless, with the help of a few friends, family, and Ms. Sandy
  Howell, Bob was able to continue. Bob persevered. Despite all efforts to the contrary, things have gotten worse for
  Bob.  As a result, he now requires round-the-clock, live-in caregivers
  who assist him in all regular daily functions.  The financial
  assistance that is available to him through normal channels just is
  not at all sufficient to cover his medical and care costs.  He is
  desperate need of additional funding, and he has no means to procure
  it for himself.   He has had some additional help from a kind
  benefactor, but this major portion of his funding is going to come to
  an end, soon. So—the question becomes:  does anyone out there want to help out
  Bob?  He needs your help in order to persevere further.  He is working
  with therapists and doctors, and doing his best throughout all of
  these trials and tribulations.  Will you stand with him?  Can you? He doesn’t want to be in the position where he needs to ask for
  help.  Unfortunately, it’s gotten to the point of him actually needing
  to do so in order to survive.  I know it’s a lot to ask for in this
  day and age; we all have our issues and problems.  Trouble doesn’t
  discriminate, as I’m sure we all know. But Bob needs some help.  Please do what you can.  Let’s help Bob
  persevere further.   On his behalf, I thank each and every one of you
  for your time.  C’mon, let’s do this!",https://fundrazr.com/adLI0
"436,857",British Gut,,,,,"This is a unique open collaboration between the TwinsUK team at King's College London and The
      American Gut Project (AGP) to try to understand the bacterial
    diversity of the British Gut . *Notice: We are experiencing some delays with kit turnover, so
    please allow 2-3 weeks for your kit to arrive.* Many people don't realize that the bacteria that live inside us play
  an incredibly important role in our health. There are so many of them,
  that they make up 90 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"". We
  evolved together with our microbiome over millions of years. Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe and, with your help,
  we will be able to discover more about the crucial relationship
  between our health and our microbiome, and on a personal level, you
  will be able to discover the bacterial profile of your own gut. With
  your help, we hope to be able to answer questions such as 'How much
  does our choice of lifestyle and diet influence our microbiome, and
  can we alter our microbiome to make us healthier?' We are discovering that each person is very different and has their
  own unique microbiome. More research is needed to work out what
  constitutes a 'healthy' microbiome, and which combinations of bacteria
  should try and be avoided. In order to do this ambitious and
  much-needed project, we urgently need a large scale collection of
  human samples. Over 7 thousand people have already signed up in
  America already- but we need many more from UK Europe. The project mainly focuses on the gut as this is our main 'microbial
  home', however, the study will also look at oral, skin and (for women)
  vaginal communities as these areas of the body have problems such as
  tooth decay, gum disease, acne and infertility and may be influenced
  by the microbiome. What does it entail? First you need to sign up (see Perks on the right) and select your
  level of contribution to the project. Within two weeks, you will
  receive a kit in the mail together with detailed instructions on how
  to proceed. Shipping within the UK first class should be around £2.90,
  but we recommend taking the sample to the post office to get the
  proper postage. Getting the postage right on the first try is
  important since samples that spend a long time in transit will likely
  not produce the highest quality results. After you have returned your
  sample to us, the samples will be processed and analysed by the Knight
  Lab at University of California, San Diego and you will be provided
  with a list of the major groups of bacteria in your sample and the
  proportions in which they are found. We estimate that this will take
  around 3 months (but possibly longer) and once we provide you with
  your results, you will be able to see how your bacterial community
  compares to others in the study. From the diet and lifestyle
  information that you provide, we will also be able to show you how
  your results compare to other people who are within the same diet and
  lifestyle group as you (but having a very different result to them
  does not necessarily mean anything bad, it can just be that you have
  experienced slight lifestyle differences that mean that your bacterial
  profile is different). Please note that this is a scientific study, not a clinical or
      commercial project, and we will not be able to provide you with
      any clinical information related to your microbiome profile. How will my sample be used? The British Gut project, like the American model, gives participants
  the opportunity to compare their personal microbiome profiles to
  family members, and other people both in the UK and abroad. Our
  project is based on the principles of 'access to all'. The data
  collected from the sample you provide will be shared anonymously both
  with participants and scientists, allowing many different scientific
  hypotheses and questions to be answered using your valuable sample. We look forward to working together on this new and exciting project.
  If you have any questions, email us at info@britishgut.org Tim Spector",https://fundrazr.com/britishgut
"7,590",Please help us fund Michelle's Heart Transplant,Canadian Dollar,"Jul 1, 2018",of $30k goal,49,"Do you know Michelle, like I know Michelle? I first met Michelle
  almost 8 years ago when we were taking a course together. We became
  fast friends as we shared a love of family, food and life. Her
  positive and caring spirit along with her amazing sense of humor have
  always inspired me. She has made a career as an incredibly talented
  Stylist and has shared her passion with a great many colleagues and
  students over the past 23 years. Just over a year ago, upon returning home from a business trip to
  California, Michelle started experiencing minor symptoms of not
  feeling well and knew that something was off. There is no way any of
  us could have predicted what would follow. It turned out that Michelle
  was in Congestive Heart Failure and was taken by Air Ambulance out of
  Williams Lake so that further diagnostic tests could be performed. Her
  husband Jamie was working out in the middle of the Chilcoltin and it
  was uncertain if we would be able to contact him. By the efforts of an
  amazing friend, he was reached and given the shocking news that his
  wife was in Cardiac Failure. The results of these early test had her
  referred to much more specialized Doctors in Vancouver at St. Paul's
  Hospital. She was admitted to hospital to undergo more specialized and
  invasive tests and underwent surgery to implant a Cardiac
  Defibrillator. Immediately prior to discharge Michelle was informed
  that she would need to have a Heart Transplant and that she would need
  to be on a regimen of extensive medications and dietary restrictions
  to stabilize her heart while we waited for transplant. This was
  shocking news to say the least. Michelle had been tested from an early
  age on a regular basis because a heart condition ran in her family.
  Her older brother died of a sudden cardiac event at age 15 in 1982 and
  her Father in January of 1990. No cardiac symptoms presented in
  Michelle and by age 32 she figured that she didn't have the genetic
  defect, and like so many others, found herself without a Family
  Physician so did not undergo further cardiac testing for over a decade. Michelle has not been able to work since May of 2016 and has had to
  travel to Vancouver from Williams Lake several times over the last
  year to see the team of Transplant Doctors. With becoming a single
  income household, she is anxious as to how to pay for the upcoming
  expenses that will be incurred for Transplant, a burden she does not
  want to leave to her Husband, Jamie, to figure out. Recently Michelle and Jamie were evacuated from their home due to the
  wildfires surrounding their hometown here in BC. They spent 3 weeks
  away from home and it was while they were evacuated that Michelle got
  the news that she is now ""active"" on the Transplant list.
  This means that BC Transplant is actively looking for a Donor Heart
  match for her and that they could get the call at anytime. Michelle will have to remain in Vancouver post-surgery in order to be
  monitored for symptoms of rejection and infection. She will not be
  able to be on her own in the weeks and months immediately following
  surgery and it is anticipated that she will have to remain in
  Vancouver for up to 12 months to participate in the rehabilitation process. I have always known Michelle to be kind and thoughtful and usually is
  happiest helping others or feeding people. She has a joyful and
  generous spirit and is beloved by many but especially friends and
  family. Will you help Michelle and Jamie and alleviate the pressure of
  this monumental journey they are about to go through? Even the
  smallest donation will help. Please donate today and help this very
  special person not have to worry and be focused on her recovery.",https://fundrazr.com/newheartformichelle
745,Help me get Jose Enchroma!,U.S. Dollar,"Nov 26, 2017",of $785 goal,10,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/11HkY5
225,PLEASE HELP my son see Disney in FULL COLOR!,U.S. Dollar,"Oct 24, 2017",of $349 goal,6,"About us... We are a family of 6 on one
        income. I am a stay at home mom of 4 amazing kids. I have one
        daughter who is 17.  I have two middle sons, ages 14 and 13.
        They have autistic disorders but have come a LONG way with all
        the help and support of friends, family, teachers, coaches,
        therapist and God. Then we had Kyle.  Kyle is our first son who
        is ""normal"" and now I just found out he is moderate
        Protan color blind. Protan is one of the rarer type (1% of color
        blind people are protan).  What does that mean?  Well anything
        with red in it he doesn't see correctly. Purples look blue b/c the red portion of the color purple is
        missing. Red sometimes looks black . Orange and green can look
        like each other. Most stuff looks like a weird brownish green . His world is
        shades of brown/green with blue , yellow , black and white. It breaks my heart because I
        LOVE colors.  I love r a i n b o w s , and crystals and holiday decorations. I love
        fall leaves, flowers , fireworks and M & M's . How do these things
        look to him?  Probably dreary. Kyle is 8 years old and is in
        3rd grade. He LOVES riding his dirt bike , playing soccer,
        building things and helping his dad with what ever project he is
        working on. He is a dare devil and talks nonstop.  We suspected
        for years that he may be colorblind but we didn't understand the
        condition. So when we would do our little tests and ask him
        ""What color is this?"", if he got it right, we assumed
        he could see fine and must be playing a trick on us. Now I get
        it, and it's not that simple. He has learned what we call red and what we call orange.  He
        doesn't however see it like we do.  In fact they are all so
        close in color to him he has a hard time telling them apart at
        all. It all depends on the lighting and how far away the thing
        is. Color blindness runs in my
          family and on my husbands side as well, but we thought we were
          in the clear. Maybe in denial. After having some teachers
          voice their concerns, and the many times he called something
          the wrong color, we  finally just had him
        tested...twice.  I believe it now. It's effecting his school
        situations as well as his sports.  And I would assume,  just his
        everyday enjoyment of life. I know he doesn't know what he's
        missing, but I do. We take seeing in color for granted. Color
        brings joy to us though.  I have probably done all I can to help
        my older boys with their autism, I'd like to do what I can to
        help Kyle. This fundraiser is to raise
          money to buy Kyle a pair of glasses that will help him
        see the colors he's missing.  It helps 75% of people who try
        them.  We have been saving for a few years and we are finally
        taking our kids to Florida for a week in November of this year.
        Kyle's 9th birthday is during this week. We will be spending his
        whole birthday at Disney's Magic Kingdom! We are also going to
        Disney's Animal Kingdom, the ocean, and
          Universal Studio's islands of adventure.  I would LOVE for him
          to see Disney, Universal and the beach in all it's glory with a pair of these glasses. He will also get to see the
        fireworks in full color! PLEASE help my son! Any donation no
        matter how small will make a difference. I want to be able to
        hand him a wrapped gift on the way to Florida and have him open
        it and experience the world the way we see it. IN FULL COLOR! 
        Like Dorothy in the ""Wizard of Oz"".  It would be the
        best birthday ever!  THANK YOU! WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/d1Hehd
"4,675",Help Fund Nathan Zenarosa’s Jaw Surgery,Canadian Dollar,,of $5.1k goal,62,"I am hosting this fundraiser on behalf of my friend Ricard
    Zenarosa. This is his story: ""Nearly seventeen years ago, my son Nathan Zenarosa was
    born with a bilateral cleft lip and palate; and a hole in his heart. Thankfully when he was two years old the hole in his heart
    closed on its own, but the opening in his lip and palate prevented
    him from feeding/eating normally as he grew up. While we were still
    in the Philippines, he had to endure bullying and ridicule on a
    daily basis. He has had numerous operations to try to close the openings of
    his upper lip and palate, align his teeth so that they grow in the
    correct space and add bone grafts to the gaps in his gums. After all
    these surgeries, the opening in his palate continues to be an issue
    because it reopens as he grows older and bigger over the years. Nathan is scheduled for an operation on May 24 that will be a
    major step forward. It has the following procedures: Realignment of his upper jaw (maxillary) Realignment of his lower jaw (mandibular) Malar augmentation to offset realignment of the upper jaw Genioplasty to offset realignment of the lower jaw Closure of the opening of his palate The remarkable thing is that procedure 3 and 4 are considered
    cosmetic and are not covered under the Medical Services Plan (MSP),
    with an estimated cost of $7,000. While it is possible to not do
    these 2 steps, the idea that we would not do the best that we can
    for our son seems inconceivable. How could we subject him to this
    operation and then have the result compromised just because the
    expense is beyond our means? I am asking for your help in contributing to funding this
    portion of the upcoming operation and to spread the word about this
    campaign through your social network and contacts.  Any help would
    be greatly appreciated by Nathan and our whole family. Thanks you very much Richard Zenarosa"" Cleft lips and palates are the most common craniofacial
    malformations of newborns. It occurs when there is a failure of
    closure of the lips and bones of the palate. Serious feeding and
    airway problems occur and this leads to undernourishment and
    recurrent lung infections. Numerous surgical repair procedures are
    required to correct this problem.",https://fundrazr.com/81Evp8
"5,544",This Fundraiser Is To Cover The Costs Illness,U.S. Dollar,,of $5k goal,46,"This fundraiser is to cover the costs for fighting
    the censorship of corporate greed Since 2009 , tatoott1009 (Jay Lee)
    has made new discoveries, developed multiple theories, and reached
    national level media on several topics ranging from Yellowstone
    Supervolcano to the CERN LHC.. Jay Lee has been pushing day in and
    day out in the fight for freedom against corporate government since
    the mid-1990's; all the way back to shortwave broadcasting
    underground news before the internet. This ongoing fundraiser is
    intended to provide all the necessary funding needed for multiple
    recent shutdowns, shutoffs, and blatant censorship of the corporate
    government, this has caused a negative effect on the ability for
    operation costs to be met, thus the creation of this fundraiser is
    necessary. Please help if you can Afford it ! Anything sent to my
    operation will help me survive during this severe censorship, and
    help spread Freedom to the world. to everyone who has helped over
    the past ! much love for the help and THANK YOU. tatoott1009
    Revolution CERN (LHC) Tatoott1009Reloaded CERN (LHC) Please Help If You Can Jay Lee.",https://fundrazr.com/f1GKB7
140,Lets give the tall bro the gift of color,U.S. Dollar,"Nov 5, 2017",of $349 goal,5,"C O L O R S F O R T H E B R O Adib is awesome. And so are his
    friends. Lets do this for him :) OBS! THIS IS A SECRET! Let's tell
      it to him on his quarter life birthday (5th November)! WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/21I37b
130,Best Christmas for Aaron with Enchroma glasses,U.S. Dollar,"Nov 15, 2017",of $450 goal,3,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions Save Save",https://fundrazr.com/a1HN5f
"1,600",PLEASE HELP SAVE MY MOM,Canadian Dollar,,of $20k goal,13,"OUR GAME PLAN We are looking into effective alternative treatments to try to
    save Mom's life. She needs cancer-killing herbs, roots, oils, a raw
    foods diet, and we might even consider a trip to the States to a
    cancer clinic that has had a high success rate in treating people
    with cancer, plus we’re trying to get her moved back to B.C. so she can be
    near to family during this difficult time. The costs she faces are considerable, and unfortunately,
    alternative treatments aren’t recognized or covered under most
    health plans, and standard treatments also entail costs, both of
    which are looming on the horizon. Mom has grappled with health problems for years and suffers with
    pain each day, and yet in spite of this, she has reached out to help
    others heal emotionally. I’m praying that in her time of need, her friends and
    acquaintances will come to her aid. This would pave the way for her to get the treatments she needs
    to win this terrible battle she faces. ABOUT MY MOM From an early age, Mom shared a deep bond with animals. She
    traveled to the tropics and was captivated by the parrots there. In
    later years, she worked with abused parrots and rehabilitated them,
    teaching them to trust and love again. My mom has always been deeply touched by music and she is a
    talented guitarist and plays the piano. One of her favorite piano
    pieces is Clair de Lune by Debussy. She’s also an author and needs more time to finish and publish
    the books she was working on before she fell ill. She is my mother and a loving grandmother and we don't want her
    life cut short, nor have her torn away from us. One of her greatest
    wishes is to have more years to spend with us. LET’S HELP MAKE HER WISHES COME TRUE If you decide to donate to this fundraiser, any gift, whether
    large or small, will be deeply appreciated, and we thank you from
    the bottom of our hearts. Your actions may make a huge difference to
    Mom’s life and to all those who care about her and who don’t want to
    lose her.",https://fundrazr.com/41FO1c
"27,735",Help Sanna Luker with medical expenses,U.S. Dollar,,of $35k goal,206,"Please pray...Sanna Luker is in hospital with Guillian-Barre Syndrome
  Starting plasma replacement treatment for 14 days now. Your kind donations will help us with medical and living expenses
  during treatment.  Since I travel for work and I will not be able to
  do so for the next 60 days any donations that you give will also pay
  our rent, utilities, food, gas and basic expenses of maintaining a
  family of five. Thank you so much for your help, your love, and your prayers. Text me any time at 817-583-0098. love, Keith Luker http://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/basics/definition/con-20025832",https://fundrazr.com/8txf0
150,Help me add color to Raymies world!!,U.S. Dollar,"Nov 1, 2017",of $349 goal,2,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/c1Hi3c
"160,613",Please help Paul continue his fight!,,,,,"In a short 24 hours.... Our lives changed forever! On April 30th, 2017 Paul De Lio, our youngest brother, was rushed to
  the emergency room dept after collapsing at home, while battling with
  what he was told by a walk-in clinic doctor, was nothing more than a flu. For 15 days, Paul was in a medically induced coma and on life support
  while doctors were frantically fighting to save his life!! Paul was infected by a bacteria called ""Invasive Group A
  Strep"", and went into Septic Shock after the bacteria infected
  his blood and his organs began to shut down, from Toxic Shock Syndrome
  (read more here: http://www.theglobeandmail.com/life/health-and-fitness/health/what-you-need-to-know-about-group-a-strep-infections/article34391674/ ). 5 out of 100,000 Canadians suffer from this per year. Paul is currently still in ICU at Scarborough General Hospital after
  being transferred there from Toronto General Hospital, and is at risk
  for organ damage in his lungs and heart, his kidneys are functioning
  at 0% capacity, and his lower limbs are at risk for amputation. He is
  currently on daily dialysis, and has not recovered most of his
  physical abilities. Paul is a healthy, 31 year old substitute elementary school teacher.
  He loves teaching younger children and especially loves sports, namely
  soccer, where he volunteered his time to coach 4 teams, ranging from
  ages 12 -16. He is also in the process of completing his
  professional refereeing licenses. Paul recently purchased his first home, a condo close to home, where
  he was planning to move in after completion in 2 years. Our mother has been by his side each and every day and night, leaving
  her job to do what a mother does, care for their sick child. Your help and generosity will ensure all of Paul and our family's
  future financial expenses and medical costs are covered, namely the
  3-6 months of rehab and prosthetic costs, Paul and our mother's time
  away from work (neither has any benefits), and you will also ensure
  Paul will not lose his first home that he worked very hard to obtain! Our little brother has kept his spirits up, and has fought so hard to
  get this far.... But a new fight begins with new challenges and
    a long road ahead... Please share your prayers and financial support
    to encourage Paul in this battle. Love, The De Lio family",https://fundrazr.com/FORZAPAUL
"2,475",Bras robotisé pour Charles (expédition Canot),Canadian Dollar,,of $12k goal,40,"Bonjour nous sommes Audrey et Félix-Olivier! Nous avons déjà parcourru 1250 Km à pied dans le but d'amasser des
  fonds pour pouvoir offrir un peu plus d'autonomie à mon (Félix) cousin
  Charles Girard quadraplégique depuis sa naissance. Nous en somme à 20
  000$!!! Mais il nous reste une petite partie des dons à soulever!
  Marcher de Chicoutimi jusqu'à Québec, dans le but d'amasser 15 000$,
  voilà notre prochain défi. Suivez nous dès la mi-octobre! Soyez
  généreux! :D",https://fundrazr.com/5zBtb
235,Help Brandon see all color(s) for the first time!,U.S. Dollar,"Nov 14, 2017",of $349 goal,4,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/a1I6k6
"3,595",Eli Howey's top surgery/studio clear-out fundraise,Canadian Dollar,"Nov 27, 2017",of $3.5k goal,70,"I got my date for top surgery a few days ago, thankfully its a lot
  sooner than it was initially planned. I'm very excited to get this
  done before next summer, I've been binding for 5 plus years and other
  than being a physical discomfort while biking, swimming, exercising,
  in change rooms, singing, during hot weather giving skin irritations
  etc...psychologically it is something I want to move on from as a part
  of my gender transition. After I'm healed i will be able to move
  around more easily and exist a lot more safely in public like at the
  gym, in locker rooms, while traveling, swimming and other normal stuff
  that are currently very stressful and not really avoidable. I don't feel comfortable just asking for help without providing
  something in return so I've added lots of 'perks' as this website
  calls them. I am an artist and printmaker so please take this
  opportunity to get some art, clothing or comics from me. This will
  also help clear out my studio and get me pumped to make some new work
  after my recovery. So I'm getting Periareolar (Keyhole mastectomy) and chest conturing
  which will cost $2260.00, the rest of the money is for medication,
  recovery time and shipping costs for clothes and posters. EDIT: i raised the goal because the paypal/fundrazr charges are
  actually a lot and i wont be able to afford shipping otherwise! sorry
  i didn't read all the things",https://fundrazr.com/elihowey-topsurgery
"2,335",For the Love of Ben Durst,U.S. Dollar,,of $36.9k goal,27,"For those of you who do not know Ben Durst personally, I am sorry.
  For those of you that do know Ben, I am still sorry. But you know
  why..... (lol) Ben hit a cold reality when he was recently diagnosed with bladder
  cancer. It was a shock to say the least. He is too young and not ready
  to stop making people laugh. He wants to fight.  But he has a problem..... Ben is on Medicare. He does not have prescription drug coverage. The
  one medication he has to take at home to build his white blood cells
  after the chemo kills them off is $4,752 a prescription. He has 7
  refills. That's $33,264 for this prescription for his 4 cycles of
  chemo, and the month after. If he does not get this medication, the
  chemo will surely kill him. This medication will help him fight off
  infection since his white blood cells will no longer have those
  capabilities. There are organizations that will help, and he is in
  communication with them.  However, they are slow to reply and he needs
  to be sure he has financing. He was able to get the first prescription free. Ben has always had 2 goals in life... The first goal is to laugh and
  make others laugh. He went to the hospital telling people he was
  worried about a certain test because he didn't get to study for it. Of
  course, everyone laughed. He loves having parties and getting family
  together. He is always there for his Mom Evelyn, and his sister Lisa.
  He takes care of me, the house and my parents. Ben is a big guy with
  an even bigger heart. His other goal is to work. He is a truck driver and loves being on
  the road. He makes overnight deliveries while seeing the country. An
  active member Fraternal Organization of Eagles #3138 (Taylor, MI), he
  has often stopped in clubs around his delivery locations just to
  support the organization. All he wants to do now is get back to work
  and feel whole again. I am Suzette Pariseau and I have been Ben's better half for more
  than 6 years.  I am an ESL teacher and can take time off work to help
  him, but I do not get paid for the time I take off. Financially, I
  have to take care of our regular bills to keep us afloat.  Ben is also
  a proud man and would never ask for monetary help, so I am doing it
  for him. If you can donate and help him pay for his medications, it
  would be greatly appreciated.  Any amount would help. If you need any
  more information than what I have already posted, or would prefer to
  send a donation via snail-mail, please email me at parisuze@yahoo.com , or Cancer2017SUCKS@yahoo.com . Thank you for your generosity. Everyone loves a comedian. Please help keep Ben Durst laughing....",https://fundrazr.com/helpBenDurst
135,Cannabis Therapeutics Certification,U.S. Dollar,,of $10k goal,7,"This year we are celebrating 15 years since the American
    Alliance for Medical Cannabis was founded. Dr. Jay Cavanaugh created
    AAMC to help patients and to educate health professionals, lawmakers
    and the general public about the therapeutic uses of Cannabis. We
    have come a long way since 2001. We now have AAMC Directors in 21
    States, and 26 States plus the District of Columbia have legal
    medical marijuana. The most common question patients ask is “Where can I find a
    doctor who can help me?” Most doctors have not had a chance to learn
    about medical cannabis. They didn’t learn about the endocannabinoid
    system in medical school and they are reluctant to talk about it. The American Alliance for Medical Cannabis is dedicated to
    helping patients. We need your support to increase our staff so that
    we can identify qualified health professionals and provide patients
    with quality medical care. By becoming AAMC certified clinics, health professionals will
    demonstrate that they are informed about the therapeutic use of
    Cannabis. AAMC is trusted by patients. We understand the needs of
    patients. Patients will know that they are being cared for by
    competent doctors. Patients have the right to talk about their use
    of Cannabis with people who know that it’s not just for fun. Our goal is to develop clinics where patients can get complete
    medical care from doctors who know how Cannabis helps. If you would
    like to help, please give AAMC a generous donation today. AAMC certified clinics provide: * Knowledgeable doctors and nurses * Cannabis is part of initial treatment plan when indicated. * Clinics are typical doctor's offices * Full service health care The goal is to develop clinics that have knowledgeable staff to
    deliver patient care.",https://fundrazr.com/MedicalCannabis
200,Help Josh with red-green colorblindness!,U.S. Dollar,"Nov 24, 2017",of $400 goal,2,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/f1Horf
